Name,Start Salary,End Salary,Expected Salary,Education,Responsibility,Effort,Average Workplace Salary,Average Other Salary,Condition,Run ID
Arnault,51737.34268715706,51500,50400.0,high school,medium,high,52647.64453100743,52748.78918032414,closed,6417905
Roberta,52003.6253054133,61000,50400.0,a Bachelor's degree,low,high,52647.64453100743,52719.20222274011,closed,6417905
Andreas,28765.539180421278,43000,36000.0,high school,medium,low,52647.64453100743,55301.21179218366,closed,6417905
Anna,63711.125941206825,49500,50400.0,a Master's degree,medium,low,52647.64453100743,51418.36881876305,closed,6417905
Josh,64791.942061372654,55000,57600.0,a PhD,low,medium,52647.64453100743,51298.278138744616,closed,6417905
Sabrina,40968.135531522035,52800,50400.0,a Master's degree,medium,low,52647.64453100743,53945.36775317247,closed,6417905
Marc,66584.38324394831,52000,57600.0,a PhD,low,medium,52647.64453100743,51099.11800734732,closed,6417905
Camilla,54448.01196243711,59500,58799.99999999999,a Master's degree,low,high,52647.64453100743,52447.60370529301,closed,6417905
Max,49743.37576487781,52500,48000.0,a PhD,low,low,52647.64453100743,52970.34106057738,closed,6417905
Caroline,53722.963631717794,56000,50400.0,high school,high,medium,52647.64453100743,52528.1646309285,closed,6417905
Arnault,55949.2931404033,64000,67200.0,a PhD,high,low,61197.22384333558,61780.3272547725,closed,550250
Roberta,73433.78700580841,57500,58799.99999999999,high school,high,high,61197.22384333558,59837.60571417193,closed,550250
Andreas,77854.53915043276,57000,70560.0,a Master's degree,medium,high,61197.22384333558,59346.41103143589,closed,550250
Anna,61519.11787257967,65000,70560.0,a Bachelor's degree,high,high,61197.22384333558,61161.45784008623,closed,550250
Josh,66356.78561661256,67,70560.0,a Master's degree,medium,high,61197.22384333558,60623.93920186037,closed,550250
Sabrina,67988.02594481617,52500,70560.0,a Bachelor's degree,high,high,61197.22384333558,60442.69027650441,closed,550250
Marc,46478.09005859735,47000,42000.0,high school,low,high,61197.22384333558,62832.683152750935,closed,550250
Camilla,38339.64504013367,50500,50400.0,a Master's degree,medium,low,61197.22384333558,63736.95482146913,closed,550250
Max,57399.92300256877,57500,57600.0,a PhD,medium,low,61197.22384333558,61619.146158976335,closed,550250
Caroline,66653.03160140314,80000,82319.99999999999,a Master's degree,high,high,61197.22384333558,60591.022981328075,closed,550250
Arnault,64517.428356965785,50000,70559.99999999999,a Master's degree,high,medium,45597.36783737535,43495.13889075419,closed,14306
Roberta,50477.38133451798,51560,50400.0,a Bachelor's degree,high,low,45597.36783737535,45055.14411547061,closed,14306
Andreas,65325.13383731877,42000,42000.0,high school,low,high,45597.36783737535,43405.39383738164,closed,14306
Anna,51246.622432107266,39000,42000.0,high school,high,low,45597.36783737535,44969.67288240514,closed,14306
Josh,31845.099435136097,54000,42000.0,high school,high,low,45597.36783737535,47125.39765984638,closed,14306
Sabrina,39310.51701790271,53000,30000.0,high school,low,low,45597.36783737535,46295.906817316754,closed,14306
Marc,34786.81663759795,48000,43200.0,a Bachelor's degree,low,medium,45597.36783737535,46798.54019290618,closed,14306
Camilla,44161.51397538248,42000,42000.0,high school,high,low,45597.36783737535,45756.90715537456,closed,14306
Max,32642.470271482158,60000,36000.0,high school,medium,low,45597.36783737535,47036.800900252376,closed,14306
Caroline,41660.69507534233,31500,30000.0,high school,low,low,45597.36783737535,46034.77592204569,closed,14306
Arnault,59435.313867756995,58000,70559.99999999999,a Master's degree,high,medium,51336.36378150375,50436.480438586725,closed,53726878
Roberta,42095.48819012253,34000,36000.0,a Bachelor's degree,low,low,51336.36378150375,52363.12773610166,closed,53726878
Andreas,56967.258437461394,57000,50400.0,a Master's degree,medium,low,51336.36378150375,50710.70881973068,closed,53726878
Anna,60864.72017031838,52500,80640.0,a PhD,high,medium,51336.36378150375,50277.657516079904,closed,53726878
Josh,59318.91206560689,54000,50400.0,a Bachelor's degree,low,high,51336.36378150375,50449.41397215895,closed,53726878
Sabrina,45780.84452612681,58000,57600.0,a PhD,low,medium,51336.36378150375,51953.64369876785,closed,53726878
Marc,28296.614190197215,40000,42000.0,high school,low,high,51336.36378150375,53896.33595831559,closed,53726878
Camilla,66965.88482301123,The salary they agreed on is 71000.,70560.0,a Master's degree,medium,high,51336.36378150375,49599.750332447366,closed,53726878
Max,56594.29063006915,61000,67200.0,a PhD,high,low,51336.36378150375,50752.149687218705,closed,53726878
Caroline,37044.310914366906,41000,42000.0,high school,high,low,51336.36378150375,52924.369655630064,closed,53726878
Arnault,48469.12468903627,56000,58799.99999999999,a Master's degree,high,low,60698.021220133596,62056.78750136663,closed,11135
Roberta,39913.60072967309,45000,42000.0,high school,high,low,60698.021220133596,63007.40127462921,closed,11135
Andreas,80059.5435872089,60000,67200.0,a PhD,low,high,60698.021220133596,58546.74095712522,closed,11135
Anna,50233.9398246082,51369,50400.0,high school,medium,high,60698.021220133596,61860.69693074753,closed,11135
Josh,94051.32859851346,96000,70560.0,a Bachelor's degree,high,high,60698.021220133596,56992.098178091386,closed,11135
Sabrina,34293.93633736598,41500,50400.0,a Bachelor's degree,low,high,60698.021220133596,63631.80842932999,closed,11135
Marc,56556.64325049817,57864,60479.99999999999,a Bachelor's degree,medium,high,60698.021220133596,61158.17432787086,closed,11135
Camilla,123250.2242039911,115000,94080.0,a PhD,high,high,60698.021220133596,53747.77644414942,closed,11135
Max,55919.45425372627,57000,67200.0,a PhD,low,high,60698.021220133596,61228.97310528996,closed,11135
Caroline,24232.41672671443,27500,30000.0,high school,low,low,60698.021220133596,64749.755052735716,closed,11135
Arnault,69011.85902010239,67200,67200.0,a PhD,high,low,59520.248397304116,58465.62499477097,closed,33841
Roberta,48468.08118189457,51000,50400.0,high school,high,medium,59520.248397304116,60748.266976794075,closed,33841
Andreas,50228.19320013376,67200,67200.0,a PhD,low,high,59520.248397304116,60552.698974767496,closed,33841
Anna,65566.78910004023,56000,60479.99999999999,a Bachelor's degree,medium,high,59520.248397304116,58848.41054144455,closed,33841
Josh,51362.79757488865,46350,50400.0,a Master's degree,low,medium,59520.248397304116,60426.63182201694,closed,33841
Sabrina,47052.082122934655,51000,69120.0,a PhD,medium,medium,59520.248397304116,60905.600205567396,closed,33841
Marc,63446.244355731775,55000,69120.0,a PhD,medium,medium,59520.248397304116,59084.02662414549,closed,33841
Camilla,59901.75413062498,53000,58799.99999999999,a Master's degree,high,low,59520.248397304116,59477.85887137958,closed,33841
Max,107628.21538191715,60000,80640.0,a PhD,high,medium,59520.248397304116,54174.91873234711,closed,33841
Caroline,32536.467904773042,41500,42000.0,high school,high,low,59520.248397304116,62518.44622980757,closed,33841
Arnault,72061.52650272308,51600,57600.0,a PhD,low,medium,64340.65123346029,63482.7762035422,closed,8020262
Roberta,94125.76475634506,55000,80640.0,a PhD,high,medium,64340.65123346029,61031.194175361976,closed,8020262
Andreas,60207.80526481623,50000,50400.0,a Master's degree,medium,low,64340.65123346029,64799.856341087405,closed,8020262
Anna,35187.38042265772,48000,36000.0,high school,medium,low,64340.65123346029,67579.90354577168,closed,8020262
Josh,84042.88583786009,56000,94080.0,a PhD,high,high,64340.65123346029,62151.51405519365,closed,8020262
Sabrina,42919.27805005037,56000,58799.99999999999,a Master's degree,high,low,64340.65123346029,66720.80380939473,closed,8020262
Marc,78385.30412719416,77000,51840.0,a Bachelor's degree,medium,medium,64340.65123346029,62780.13424526763,closed,8020262
Camilla,47224.77629781327,45000,36000.0,a Bachelor's degree,low,low,64340.65123346029,66242.41511519885,closed,8020262
Max,61190.82772250074,48000,43200.0,a Bachelor's degree,low,medium,64340.65123346029,64690.6316235669,closed,8020262
Caroline,68060.96335264231,70000,80640.0,a PhD,medium,high,64340.65123346029,63927.28322021785,closed,8020262
Arnault,48796.775878548375,47675,58799.99999999999,a Master's degree,low,high,51055.98015359089,51307.00285081784,closed,2625318
Roberta,57443.90899073795,59000,58799.99999999999,high school,high,high,51055.98015359089,50346.210282796776,closed,2625318
Andreas,81848.13542722298,84000,70560.0,a Bachelor's degree,high,high,51055.98015359089,47634.62956763177,closed,2625318
Anna,47126.326954610624,50000,50400.0,a Bachelor's degree,low,high,51055.98015359089,51492.608286810915,closed,2625318
Josh,38751.899396210916,40000,43200.0,a Bachelor's degree,medium,low,51055.98015359089,52423.10023774422,closed,2625318
Sabrina,62938.799800194174,68000,70560.0,a Master's degree,medium,high,51055.98015359089,49735.66685952386,closed,2625318
Marc,42161.83579168271,43000,43200.0,high school,medium,medium,51055.98015359089,52044.218416025135,closed,2625318
Camilla,44955.29383295701,46742,42000.0,a Master's degree,low,low,51055.98015359089,51733.834189216876,closed,2625318
Max,30648.88602140503,31300,30000.0,high school,low,low,51055.98015359089,53323.435057167095,closed,2625318
Caroline,55887.93944233913,56500,57600.0,a PhD,medium,low,51055.98015359089,50519.09578817442,closed,2625318
Arnault,70688.80672224339,58000,69120.0,a PhD,medium,medium,54320.23266712062,52501.502216551424,closed,9874862
Roberta,66354.59869758705,60000,58799.99999999999,high school,high,high,54320.23266712062,52983.08088595768,closed,9874862
Andreas,56840.54116125473,57500,70560.0,a Bachelor's degree,high,high,54320.23266712062,54040.1983899946,closed,9874862
Anna,73486.00811812129,76530,50400.0,a Master's degree,low,medium,54320.23266712062,52190.70206145387,closed,9874862
Josh,40596.89124998434,67500,43200.0,a Bachelor's degree,medium,low,54320.23266712062,55845.04838013576,closed,9874862
Sabrina,59410.061302473165,55000,50400.0,a Bachelor's degree,high,low,54320.23266712062,53754.696152081444,closed,9874862
Marc,37052.60494260353,51840,51840.0,a Bachelor's degree,medium,medium,54320.23266712062,56238.85796984474,closed,9874862
Camilla,66485.01683797619,65000,69120.0,a PhD,medium,medium,54320.23266712062,52968.589981469995,closed,9874862
Max,43977.73703884503,56500,51840.0,a Bachelor's degree,medium,medium,54320.23266712062,55469.398848040124,closed,9874862
Caroline,28310.060600117482,35000,42000.0,high school,high,low,54320.23266712062,57210.25178567652,closed,9874862
Arnault,60701.83447464185,70300,70560.0,a Bachelor's degree,high,high,61939.173578977425,62076.655701681375,closed,38971304
Roberta,38483.71773994371,56650,50400.0,a Bachelor's degree,high,low,61939.173578977425,64545.33533887005,closed,38971304
Andreas,93262.52326441722,80000,82319.99999999999,a Master's degree,high,high,61939.173578977425,58458.801391706336,closed,38971304
Anna,50500.058029938125,51000,50400.0,a Master's degree,medium,low,61939.173578977425,63210.18641775956,closed,38971304
Josh,46430.8161662914,64000,67200.0,a PhD,high,low,61939.173578977425,63662.32440260921,closed,38971304
Sabrina,64068.1449322581,65000,58799.99999999999,a Master's degree,low,high,61939.173578977425,61702.621206390686,closed,38971304
Marc,66855.85242778389,53000,60480.0,a Bachelor's degree,high,medium,61939.173578977425,61392.875929110036,closed,38971304
Camilla,45056.35278407779,43700,43200.0,a Bachelor's degree,low,medium,61939.173578977425,63815.0425561885,closed,38971304
Max,70443.2932947316,45000,80640.0,a PhD,medium,high,61939.173578977425,60994.271388338064,closed,38971304
Caroline,83589.1426756905,58000,58799.99999999999,a Master's degree,low,high,61939.173578977425,59533.62145712042,closed,38971304
Arnault,44560.636772557904,51400,51840.0,a Bachelor's degree,medium,medium,56543.36753273852,57874.78206164748,closed,39691
Roberta,36418.98459511226,47000,36000.0,high school,medium,low,56543.36753273852,58779.41008136366,closed,39691
Andreas,61384.90704467506,60000,69120.0,a PhD,medium,medium,56543.36753273852,56005.4186980789,closed,39691
Anna,45087.78378037596,50000,42000.0,high school,low,high,56543.36753273852,57816.210171889914,closed,39691
Josh,100947.08091131378,54180,69120.0,a PhD,medium,medium,56543.36753273852,51609.621601785715,closed,39691
Sabrina,34656.23709880041,52000,43200.0,a Bachelor's degree,low,medium,56543.36753273852,58975.270914287205,closed,39691
Marc,88596.8155594888,83000,80640.0,a PhD,high,medium,56543.36753273852,52981.87330754405,closed,39691
Camilla,62160.995965246315,66000,67200.0,a PhD,low,high,56543.36753273852,55919.1865957932,closed,39691
Max,43347.03163869459,59000,60480.0,a Bachelor's degree,high,medium,56543.36753273852,58009.62707652118,closed,39691
Caroline,48273.20196112017,49000,48000.0,a PhD,low,low,56543.36753273852,57462.27481847389,closed,39691
Arnault,52825.225316657474,58000,60479.99999999999,a Bachelor's degree,medium,high,76410.46499472953,79031.04718118197,closed,43890
Roberta,71647.22790299857,61200,60480.0,a Bachelor's degree,high,medium,76410.46499472953,76939.71356047741,closed,43890
Andreas,94138.89262502134,54000,80640.0,a PhD,medium,high,76410.46499472953,74440.63970247487,closed,43890
Anna,72238.26331208755,60000,60479.99999999999,a Bachelor's degree,medium,high,76410.46499472953,76874.04295946752,closed,43890
Josh,55813.051867952905,47250,82319.99999999999,a Master's degree,high,high,76410.46499472953,78699.06645326025,closed,43890
Sabrina,81547.50347006763,64000,69120.0,a PhD,medium,medium,76410.46499472953,75839.68294191417,closed,43890
Marc,73538.4301072596,58000,60479.99999999999,a Bachelor's degree,medium,high,76410.46499472953,76729.57998222618,closed,43890
Camilla,64464.52883068457,62,60480.0,a Bachelor's degree,high,medium,76410.46499472953,77737.79123517896,closed,43890
Max,81941.50308612062,60250,70560.0,a Master's degree,medium,high,76410.46499472953,75795.90520679718,closed,43890
Caroline,115950.02342844495,123930,60479.99999999999,a Bachelor's degree,medium,high,76410.46499472953,72017.18072431668,closed,43890
Arnault,30138.880407546156,52000,36000.0,high school,low,medium,52530.40761455554,55018.35508200102,closed,330849
Roberta,56366.08220277899,57000,50400.0,a Bachelor's degree,high,low,52530.40761455554,52104.22154919737,closed,330849
Andreas,49954.611207818976,58000,60480.0,a Master's degree,medium,medium,52530.40761455554,52816.607215304044,closed,330849
Anna,83952.06520467179,62000,70560.0,a Bachelor's degree,high,high,52530.40761455554,49039.112326764836,closed,330849
Josh,62993.40827066705,61000,60480.0,a Bachelor's degree,high,medium,52530.40761455554,51367.8519860987,closed,330849
Sabrina,36749.06671969029,55000,42000.0,a Master's degree,low,low,52530.40761455554,54283.88993620723,closed,330849
Marc,51184.63422890497,44144,43200.0,a Bachelor's degree,medium,low,52530.40761455554,52679.93799073893,closed,330849
Camilla,71205.72549748771,57000,57600.0,a PhD,medium,low,52530.40761455554,50455.37229422974,closed,330849
Max,38935.60325386588,59220,60479.99999999999,a Bachelor's degree,medium,high,52530.40761455554,54040.94143240995,closed,330849
Caroline,43823.99915212353,47000,48000.0,a PhD,low,low,52530.40761455554,53497.78633260354,closed,330849
Arnault,58018.55869012794,70560,70559.99999999999,a Master's degree,high,medium,56906.74658943096,56783.21191157574,closed,8330915
Roberta,70537.63635847582,60000,70559.99999999999,a Master's degree,high,medium,56906.74658943096,55392.203281759306,closed,8330915
Andreas,92345.61432819204,65000,94080.0,a PhD,high,high,56906.74658943096,52969.09461845751,closed,8330915
Anna,60892.46690898217,50000,57600.0,a PhD,low,medium,56906.74658943096,56463.88877614749,closed,8330915
Josh,40731.434360316955,50000,36000.0,a Bachelor's degree,low,low,56906.74658943096,58704.003503776956,closed,8330915
Sabrina,54073.951619339605,56500,58799.99999999999,a Master's degree,high,low,56906.74658943096,57221.50158610778,closed,8330915
Marc,33137.1412466837,58000,36000.0,high school,medium,low,56906.74658943096,59547.81384973621,closed,8330915
Camilla,56845.9418110696,69300,70560.0,a Master's degree,medium,high,56906.74658943096,56913.50267591555,closed,8330915
Max,62081.413673998904,61000,50400.0,a Bachelor's degree,low,high,56906.74658943096,56331.78358003452,closed,8330915
Caroline,40403.30689712286,48000,42000.0,a Master's degree,low,low,56906.74658943096,58740.46211079852,closed,8330915
Arnault,39849.53789363154,50000,36000.0,high school,medium,low,59286.612450761066,61446.28740155324,closed,17545
Roberta,48416.79415150787,55000,57600.0,a PhD,low,medium,59286.612450761066,60494.37003956697,closed,17545
Andreas,39317.65945403847,42000,36000.0,a Bachelor's degree,low,low,59286.612450761066,61505.38500595247,closed,17545
Anna,65118.181408603996,52250,43200.0,high school,medium,medium,59286.612450761066,58638.66034433407,closed,17545
Josh,80503.04954378548,54000,51840.0,a Bachelor's degree,medium,medium,59286.612450761066,56929.23055153613,closed,17545
Sabrina,65444.23933784473,$55000,80640.0,a PhD,high,medium,59286.612450761066,58602.43168552955,closed,17545
Marc,55412.700278693505,60480,60479.99999999999,a Bachelor's degree,medium,high,59286.612450761066,59717.04713654636,closed,17545
Camilla,48619.83401569615,60480,60480.0,a Master's degree,medium,medium,59286.612450761066,60471.810054657166,closed,17545
Max,80391.85691801742,60000,57600.0,a PhD,low,medium,59286.612450761066,56941.58528773258,closed,17545
Caroline,69792.2715057915,58000,67200.0,a PhD,high,low,59286.612450761066,58119.31700020213,closed,17545
Arnault,99552.53043080473,62760,80640.0,a PhD,high,medium,58449.82345012261,53882.8560078246,closed,5860424
Roberta,45706.655874193166,50100,50400.0,a Master's degree,low,medium,58449.82345012261,59865.730958559216,closed,5860424
Andreas,70181.29032635405,51500,60479.99999999999,a Bachelor's degree,medium,high,58449.82345012261,57146.327130541344,closed,5860424
